Animal ID,Animal Type,Breed,Size,Intake Date,Outcome Type,Outcome Zip Code,Intake Jurisdiction,Outcome Jurisdiction,Location
A344063,DOG,RAT TERRIER,SMALL,04/12/2017,EUTHANIZE,,COUNTY,,
A365510,CAT,DOMESTIC LH,SMALL,12/14/2017,ADOPTION,95430.0,COUNTY,COUNTY,"95430(38.437394, -123.062019)"
A362572,CAT,DOMESTIC SH,LARGE,09/28/2020,RETURN TO OWNER,95407.0,SANTA ROSA,SANTA ROSA,"95407(38.403734, -122.736775)"
A404967,DOG,PIT BULL,LARGE,07/02/2021,EUTHANIZE,,COUNTY,COUNTY,
A351096,DOG,PIT BULL,MED,04/13/2017,EUTHANIZE,,SANTA ROSA,,
A393314,DOG,AUST CATTLE DOG,MED,10/25/2019,TRANSFER,94146.0,COUNTY,OUT OF COUNTY,"94146(37.78008, -122.420168)"
A344672,DOG,GERM SHEPHERD,MED,03/21/2018,RETURN TO OWNER,95476.0,COUNTY,COUNTY,"95476(38.280393, -122.464588)"
A315294,DOG,WEST HIGHLAND,SMALL,12/26/2014,TRANSFER,94116.0,COUNTY,OUT OF COUNTY,"94116(37.744235, -122.485994)"
A323700,DOG,LABRADOR RETR,MED,04/22/2016,RETURN TO OWNER,95439.0,COUNTY,COUNTY,"95439(38.49169, -122.776056)"
A349265,CAT,DOMESTIC SH,SMALL,03/11/2017,ADOPTION,95401.0,SANTA ROSA,COUNTY,"95401(38.446019, -122.766748)"
A395704,DOG,BLACK/TAN HOUND,LARGE,01/21/2020,RETURN TO OWNER,95448.0,COUNTY,COUNTY,"95448(38.618857, -122.861927)"
A353160,CAT,DOMESTIC MH,SMALL,05/20/2017,EUTHANIZE,,SANTA ROSA,,
A367995,DOG,GERM SHEPHERD,MED,03/02/2018,EUTHANIZE,94954.0,COUNTY,COUNTY,"94954(38.245316, -122.59871)"
A339177,DOG,PIT BULL,LARGE,07/01/2016,EUTHANIZE,,COUNTY,,
A318237,DOG,LABRADOR RETR,LARGE,01/02/2021,RETURN TO OWNER,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A384180,CAT,DOMESTIC SH,SMALL,05/25/2016,ADOPTION,95492.0,SANTA ROSA,*WINDSOR,"95492(38.541541, -122.809202)"
A402278,CAT,DOMESTIC SH,SMALL,02/11/2021,ADOPTION,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A334881,DOG,CAVALIER SPAN,SMALL,03/24/2016,RETURN TO OWNER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A338203,CAT,DOMESTIC SH,SMALL,06/11/2016,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A355650,DOG,AUST SHEPHERD/GERM SHEPHERD,MED,07/16/2017,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A370530,DOG,PARSON RUSS TER/MIX,SMALL,03/30/2018,RETURN TO OWNER,92544.0,COUNTY,OUT OF COUNTY,"92544(33.66574, -116.910548)"
A362173,DOG,GERM SHEPHERD/PIT BULL,PUPPY,09/29/2017,TRANSFER,94598.0,COUNTY,OUT OF COUNTY,"94598(37.916331, -122.020165)"
A318019,DOG,PIT BULL,MED,03/16/2015,TRANSFER,94952.0,SANTA ROSA,*PETALUMA,"94952(38.236012, -122.730241)"
A219311,CAT,DOMESTIC MH,SMALL,08/15/2016,EUTHANIZE,95404.0,SANTA ROSA,COUNTY,"95404(38.458384, -122.675588)"
A301104,DOG,AUST CATTLE DOG/LABRADOR RETR,LARGE,02/18/2015,ADOPTION,95492.0,COUNTY,*WINDSOR,"95492(38.541541, -122.809202)"
A310150,CAT,DOMESTIC SH,SMALL,08/14/2014,RETURN TO OWNER,95472.0,COUNTY,COUNTY,"95472(38.394388, -122.850998)"
A332587,DOG,COCKER SPAN,SMALL,01/31/2016,EUTHANIZE,95476.0,COUNTY,COUNTY,"95476(38.280393, -122.464588)"
A256361,CAT,DOMESTIC LH,SMALL,02/27/2019,ADOPTION,95409.0,COUNTY,SANTA ROSA,"95409(38.458965, -122.630156)"
A384055,DOG,GERM SH POINT,LARGE,10/11/2016,RETURN TO OWNER,94952.0,COUNTY,COUNTY,"94952(38.236012, -122.730241)"
A310100,DOG,CHIHUAHUA SH,TOY,08/13/2014,ADOPTION,95407.0,COUNTY,SANTA ROSA,"95407(38.403734, -122.736775)"
A308917,CAT,DOMESTIC LH/MAINE COON,LARGE,07/10/2014,ADOPTION,95458.0,SANTA ROSA,OUT OF COUNTY,"95458(39.074472, -122.78264)"
A352609,CAT,DOMESTIC SH,SMALL,05/11/2017,ADOPTION,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A321152,CAT,DOMESTIC SH,SMALL,04/29/2015,ADOPTION,95448.0,COUNTY,COUNTY,"95448(38.618857, -122.861927)"
A369120,CAT,DOMESTIC MH,SMALL,02/24/2018,ADOPTION,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A335064,DOG,CHIHUAHUA SH/MIX,SMALL,06/24/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A406032,DOG,ENG FOXHOUND/MIX,MED,07/26/2021,ADOPTION,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A310032,DOG,PIT BULL/MIX,MED,08/12/2014,ADOPTION,95446.0,SANTA ROSA,COUNTY,"95446(38.510032, -122.996796)"
A340629,CAT,DOMESTIC SH,SMALL,08/06/2016,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A346903,DOG,POMERANIAN/MIX,SMALL,01/03/2017,ADOPTION,95446.0,SANTA ROSA,COUNTY,"95446(38.510032, -122.996796)"
A393805,CAT,DOMESTIC SH,KITTN,11/19/2019,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A303094,DOG,DACHSHUND/MIX,SMALL,11/19/2014,ADOPTION,95450.0,COUNTY,COUNTY,"95450(38.493009, -123.187703)"
A264901,DOG,CHIHUAHUA SH,SMALL,07/01/2020,TRANSFER,95407.0,SANTA ROSA,COUNTY,"95407(38.403734, -122.736775)"
A384512,DOG,PIT BULL/MIX,PUPPY,02/22/2019,EUTHANIZE,,SANTA ROSA,,
A018849,DOG,GERM SHEPHERD,LARGE,08/12/2014,RETURN TO OWNER,95480.0,COUNTY,COUNTY,"95480(38.744504, -123.477587)"
A338064,DOG,LABRADOR RETR/MIX,LARGE,06/07/2016,EUTHANIZE,95412.0,COUNTY,COUNTY,"95412(38.705157, -123.351858)"
A310243,CAT,DOMESTIC SH,KITTN,08/16/2014,ADOPTION,95404.0,COUNTY,SANTA ROSA,"95404(38.458384, -122.675588)"
A365495,CAT,DOMESTIC SH,SMALL,12/13/2017,RETURN TO OWNER,95401.0,COUNTY,COUNTY,"95401(38.446019, -122.766748)"
A333932,DOG,ROTTWEILER/LABRADOR RETR,MED,03/09/2016,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A391595,DOG,SIBERIAN HUSKY,MED,09/20/2019,RETURN TO OWNER,95407.0,COUNTY,SANTA ROSA,"95407(38.403734, -122.736775)"
A316291,DOG,COCKER SPAN,MED,01/29/2015,RETURN TO OWNER,95425.0,SANTA ROSA,COUNTY,"95425(38.790859, -123.010876)"
A410241,DOG,AUST CATTLE DOG,PUPPY,02/24/2022,TRANSFER,94044.0,SANTA ROSA,OUT OF COUNTY,"94044(37.617695, -122.485896)"
A339387,CAT,DOMESTIC SH,KITTN,07/08/2016,ADOPTION,95472.0,COUNTY,COUNTY,"95472(38.394388, -122.850998)"
A088462,DOG,SHIH TZU,SMALL,02/21/2014,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A400190,CAT,DOMESTIC SH,KITTN,08/31/2020,ADOPTION,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A390895,CAT,DOMESTIC MH,KITTN,08/24/2019,ADOPTION,94952.0,SANTA ROSA,*PETALUMA,"94952(38.236012, -122.730241)"
A327314,DOG,POMERANIAN,TOY,09/23/2015,ADOPTION,95436.0,COUNTY,COUNTY,"95436(38.491884, -122.90672)"
A405159,CAT,SIAMESE,SMALL,06/03/2021,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A321750,CAT,DOMESTIC SH,KITTN,05/16/2015,TRANSFER,95407.0,SANTA ROSA,COUNTY,"95407(38.403734, -122.736775)"
A310179,DOG,PIT BULL,LARGE,08/14/2014,EUTHANIZE,,SANTA ROSA,,
A347125,DOG,DOGUE DE BORDX,X-LRG,01/17/2017,TRANSFER,94574.0,SANTA ROSA,OUT OF COUNTY,"94574(38.525993, -122.432854)"
A322468,CAT,DOMESTIC SH,KITTN,05/28/2015,ADOPTION,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A401206,DOG,PIT BULL,MED,11/01/2020,RETURN TO OWNER,95454.0,COUNTY,OUT OF COUNTY,"95454(39.749972, -123.494392)"
A410302,DOG,POODLE MIN/MIX,SMALL,02/25/2022,RETURN TO OWNER,95442.0,COUNTY,COUNTY,"95442(38.371317, -122.520506)"
A305014,DOG,PIT BULL,LARGE,04/05/2014,EUTHANIZE,,SANTA ROSA,,
A314671,DOG,PIT BULL/MIX,LARGE,04/09/2015,EUTHANIZE,,COUNTY,,
A411977,DOG,PIT BULL,LARGE,06/13/2022,TRANSFER,94928.0,*ROHNERT PARK,*ROHNERT PARK,"94928(38.346718, -122.695947)"
A362647,DOG,PIT BULL/MIX,MED,10/16/2017,RETURN TO OWNER,95407.0,SANTA ROSA,SANTA ROSA,"95407(38.403734, -122.736775)"
A302685,DOG,AM PIT BULL TER,LARGE,12/26/2014,RETURN TO OWNER,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A321403,CAT,DOMESTIC LH,KITTN,05/07/2015,ADOPTION,95422.0,COUNTY,OUT OF COUNTY,"95422(38.962754, -122.634743)"
A393283,CAT,DOMESTIC SH,KITTN,10/23/2019,TRANSFER,95407.0,SANTA ROSA,COUNTY,"95407(38.403734, -122.736775)"
A300877,DOG,PIT BULL,MED,09/24/2017,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A405316,CAT,DOMESTIC SH,SMALL,06/15/2021,TRANSFER,95407.0,SANTA ROSA,COUNTY,"95407(38.403734, -122.736775)"
A336006,DOG,MIN PINSCHER,TOY,04/22/2016,TRANSFER,95829.0,*WINDSOR,OUT OF COUNTY,"95829(38.474725, -121.340819)"
A338735,DOG,PIT BULL/MIX,LARGE,06/25/2016,EUTHANIZE,,COUNTY,,
A389576,DOG,LHASA APSO/MIX,SMALL,07/20/2019,ADOPTION,95472.0,COUNTY,*SEBASTOPOL,"95472(38.394388, -122.850998)"
A405744,CAT,DOMESTIC SH,KITTN,07/06/2021,ADOPTION,95448.0,SANTA ROSA,*HEALDSBURG,"95448(38.618857, -122.861927)"
A311336,DOG,PIT BULL/MIX,MED,09/08/2014,RETURN TO OWNER,95407.0,COUNTY,COUNTY,"95407(38.403734, -122.736775)"
A305204,DOG,BORDER COLLIE/LABRADOR RETR,MED,04/10/2014,ADOPTION,95405.0,*SONOMA,SANTA ROSA,"95405(38.439152, -122.672541)"
A372535,CAT,DOMESTIC SH,KITTN,05/15/2018,ADOPTION,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A400303,CAT,DOMESTIC SH,KITTN,09/08/2020,RETURN TO OWNER,95404.0,COUNTY,COUNTY,"95404(38.458384, -122.675588)"
A351159,CAT,DOMESTIC SH,SMALL,04/15/2017,ADOPTION,95425.0,COUNTY,*CLOVERDALE,"95425(38.790859, -123.010876)"
A364121,CAT,DOMESTIC SH,KITTN,11/15/2017,EUTHANIZE,,COUNTY,,
A405637,DOG,POINTER/MIX,MED,06/28/2021,TRANSFER,95062.0,COUNTY,OUT OF COUNTY,"95062(36.97315, -121.990303)"
A317728,DOG,PIT BULL/MIX,MED,03/09/2015,ADOPTION,94928.0,COUNTY,*ROHNERT PARK,"94928(38.346718, -122.695947)"
A406288,CAT,DOMESTIC SH,KITTN,08/17/2021,TRANSFER,94952.0,COUNTY,*PETALUMA,"94952(38.236012, -122.730241)"
A360793,DOG,GERM SHEPHERD/MIX,MED,09/11/2017,TRANSFER,95407.0,COUNTY,COUNTY,"95407(38.403734, -122.736775)"
A412279,CAT,DOMESTIC SH,SMALL,07/03/2022,RETURN TO OWNER,96027.0,COUNTY,OUT OF COUNTY,"96027(41.467382, -122.875135)"
A344024,DOG,GERM SHEPHERD/MIX,MED,10/21/2016,RETURN TO OWNER,95446.0,COUNTY,COUNTY,"95446(38.510032, -122.996796)"
A410918,DOG,BELG MALINOIS/MIX,MED,04/09/2022,ADOPTION,95442.0,COUNTY,COUNTY,"95442(38.371317, -122.520506)"
A308440,DOG,CHIHUAHUA SH,TOY,06/27/2014,ADOPTION,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A310672,DOG,PIT BULL,LARGE,09/26/2014,RETURN TO OWNER,95448.0,COUNTY,*HEALDSBURG,"95448(38.618857, -122.861927)"
A365176,DOG,WELSH CORGI PEM/BORDER COLLIE,SMALL,05/21/2019,RETURN TO OWNER,95407.0,SANTA ROSA,SANTA ROSA,"95407(38.403734, -122.736775)"
A374273,CAT,DOMESTIC SH,KITTN,06/26/2018,EUTHANIZE,,*WINDSOR,,
A374319,CAT,DOMESTIC MH,KITTN,06/27/2018,ADOPTION,95492.0,SANTA ROSA,*WINDSOR,"95492(38.541541, -122.809202)"
A360521,CAT,DOMESTIC SH,KITTN,08/31/2017,RETURN TO OWNER,95403.0,COUNTY,COUNTY,"95403(38.486997, -122.749134)"
A353417,DOG,ROTTWEILER/MIX,LARGE,05/31/2017,ADOPTION,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A356740,CAT,DOMESTIC SH,KITTN,08/12/2017,TRANSFER,95407.0,SANTA ROSA,COUNTY,"95407(38.403734, -122.736775)"
A305314,CAT,DOMESTIC SH,SMALL,04/12/2014,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A366762,DOG,BELG MALINOIS,PUPPY,01/10/2018,ADOPTION,95405.0,SANTA ROSA,SANTA ROSA,"95405(38.439152, -122.672541)"
A310455,DOG,CHIHUAHUA SH/MIX,SMALL,08/21/2014,TRANSFER,95407.0,SANTA ROSA,COUNTY,"95407(38.403734, -122.736775)"
A405297,CAT,DOMESTIC SH,SMALL,06/09/2021,EUTHANIZE,,SANTA ROSA,,
A356601,CAT,DOMESTIC SH,KITTN,08/08/2017,ADOPTION,95492.0,SANTA ROSA,*WINDSOR,"95492(38.541541, -122.809202)"
A321711,DOG,BEAGLE/WELSH CORGI PEM,MED,05/15/2015,ADOPTION,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A331837,DOG,PIT BULL,LARGE,01/12/2016,EUTHANIZE,,COUNTY,,
A379515,DOG,CAIRN TERRIER/MIX,SMALL,11/06/2018,RETURN TO OWNER,,COUNTY,OUT OF COUNTY,
A350368,CAT,DOMESTIC SH,SMALL,03/31/2017,ADOPTION,95409.0,SANTA ROSA,SANTA ROSA,"95409(38.458965, -122.630156)"
A333076,DOG,PIT BULL,MED,02/13/2016,ADOPTION,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A374919,CAT,DOMESTIC MH,SMALL,07/24/2018,EUTHANIZE,,COUNTY,,
A309040,CAT,DOMESTIC LH,KITTN,11/30/2017,DIED,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A342506,CAT,DOMESTIC SH,KITTN,09/20/2016,ADOPTION,95401.0,SANTA ROSA,COUNTY,"95401(38.446019, -122.766748)"
A356797,DOG,GERM SHEPHERD/ALASKAN HUSKY,LARGE,08/15/2017,ADOPTION,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A374428,DOG,PIT BULL/MIX,LARGE,07/03/2018,RETURN TO OWNER,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A324636,CAT,DOMESTIC SH,KITTN,07/24/2015,ADOPTION,95404.0,COUNTY,COUNTY,"95404(38.458384, -122.675588)"
A376082,CAT,DOMESTIC SH,KITTN,09/14/2018,EUTHANIZE,,COUNTY,,
A341191,CAT,DOMESTIC MH,SMALL,08/18/2016,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A341597,CAT,DOMESTIC SH,KITTN,08/24/2016,EUTHANIZE,,COUNTY,,
A318073,CAT,DOMESTIC SH,SMALL,03/17/2015,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A293127,CAT,SIAMESE/MIX,SMALL,04/02/2020,EUTHANIZE,95476.0,COUNTY,COUNTY,"95476(38.280393, -122.464588)"
A313896,DOG,PIT BULL,MED,02/02/2018,RETURN TO OWNER,95446.0,COUNTY,COUNTY,"95446(38.510032, -122.996796)"
A408932,DOG,PIT BULL/MIX,MED,01/15/2022,ADOPTION,95492.0,SANTA ROSA,*WINDSOR,"95492(38.541541, -122.809202)"
A396718,DOG,CHIHUAHUA SH/MIX,SMALL,03/10/2020,TRANSFER,94146.0,SANTA ROSA,OUT OF COUNTY,"94146(37.78008, -122.420168)"
A370708,DOG,PIT BULL,MED,04/10/2018,ADOPTION,94558.0,COUNTY,OUT OF COUNTY,"94558(38.383156, -122.289164)"
A316411,CAT,DOMESTIC SH,SMALL,02/01/2015,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A362485,CAT,DOMESTIC SH,SMALL,10/11/2017,RETURN TO OWNER,95492.0,COUNTY,*WINDSOR,"95492(38.541541, -122.809202)"
A410975,DOG,PUG,SMALL,04/13/2022,RETURN TO OWNER,94951.0,COUNTY,COUNTY,"94951(38.314417, -122.656863)"
A390441,DOG,LABRADOR RETR/MIX,LARGE,08/16/2019,RETURN TO OWNER,95405.0,SANTA ROSA,SANTA ROSA,"95405(38.439152, -122.672541)"
A412069,DOG,SIBERIAN HUSKY,MED,06/18/2022,EUTHANIZE,,SANTA ROSA,,
A302013,DOG,CATAHOULA/ROTTWEILER,MED,01/25/2014,ADOPTION,95918.0,COUNTY,OUT OF COUNTY,"95918(39.289427, -121.336131)"
A366431,CAT,DOMESTIC SH,SMALL,12/24/2017,RETURN TO OWNER,87110.0,SANTA ROSA,OUT OF COUNTY,"87110(35.107972, -106.577935)"
A302543,DOG,MALTESE/MIX,SMALL,04/30/2014,ADOPTION,95472.0,COUNTY,*SEBASTOPOL,"95472(38.394388, -122.850998)"
A316390,CAT,DOMESTIC LH,SMALL,01/29/2015,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A397975,CAT,DOMESTIC SH,SMALL,06/17/2020,TRANSFER,95407.0,COUNTY,COUNTY,"95407(38.403734, -122.736775)"
A386887,DOG,CHIHUAHUA SH,TOY,05/11/2019,ADOPTION,95404.0,COUNTY,SANTA ROSA,"95404(38.458384, -122.675588)"
A305095,DOG,LABRADOR RETR/MIX,MED,04/08/2014,ADOPTION,95448.0,SANTA ROSA,COUNTY,"95448(38.618857, -122.861927)"
A396242,CAT,SIAMESE/MIX,SMALL,02/18/2020,EUTHANIZE,,SANTA ROSA,,
A309138,CAT,DOMESTIC SH,SMALL,07/16/2014,EUTHANIZE,,COUNTY,,
A386670,CAT,DOMESTIC SH,SMALL,05/08/2019,ADOPTION,95492.0,SANTA ROSA,*WINDSOR,"95492(38.541541, -122.809202)"
A338719,CAT,DOMESTIC MH,KITTN,06/24/2016,ADOPTION,95492.0,SANTA ROSA,*WINDSOR,"95492(38.541541, -122.809202)"
A268461,CAT,DOMESTIC MH,SMALL,04/09/2014,ADOPTION,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A334951,CAT,DOMESTIC SH,SMALL,03/28/2016,ESCAPED/STOLEN,28730.0,COUNTY,OUT OF COUNTY,"28730(35.52935, -82.387152)"
A396980,DOG,CHINESE SHARPEI,MED,03/28/2020,RETURN TO OWNER,95407.0,COUNTY,COUNTY,"95407(38.403734, -122.736775)"
A230454,DOG,PIT BULL,MED,06/08/2016,EUTHANIZE,,*WINDSOR,,
A400114,CAT,DOMESTIC SH,KITTN,09/03/2020,ADOPTION,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A374869,CAT,DOMESTIC SH,KITTN,07/21/2018,TRANSFER,95407.0,SANTA ROSA,COUNTY,"95407(38.403734, -122.736775)"
A305777,DOG,GERM SHEPHERD/MIX,PUPPY,04/23/2014,EUTHANIZE,,COUNTY,,
A336508,DOG,LABRADOR RETR,X-LRG,05/02/2016,RETURN TO OWNER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A324479,DOG,PIT BULL,PUPPY,07/17/2015,ADOPTION,94037.0,SANTA ROSA,OUT OF COUNTY,"94037(37.5406, -122.510903)"
A322423,CAT,DOMESTIC SH,KITTN,05/26/2015,ADOPTION,95492.0,SANTA ROSA,*WINDSOR,"95492(38.541541, -122.809202)"
A330580,DOG,POODLE MIN,SMALL,01/25/2021,ADOPTION,94923.0,SANTA ROSA,COUNTY,"94923(38.336423, -123.040451)"
A386305,DOG,PIT BULL,MED,11/03/2019,RETURN TO OWNER,84117.0,COUNTY,OUT OF COUNTY,"84117(40.662537, -111.836898)"
A375890,DOG,BASSET HOUND/MIX,MED,09/07/2018,RETURN TO OWNER,95409.0,SANTA ROSA,SANTA ROSA,"95409(38.458965, -122.630156)"
A371314,DOG,BORDER COLLIE/MIX,MED,05/01/2018,ADOPTION,95401.0,COUNTY,COUNTY,"95401(38.446019, -122.766748)"
A303055,DOG,PIT BULL/BOSTON TERRIER,SMALL,02/20/2014,RETURN TO OWNER,95462.0,COUNTY,COUNTY,"95462(38.468829, -123.018829)"
A411347,CAT,DOMESTIC SH,SMALL,05/03/2022,TRANSFER,95407.0,SANTA ROSA,COUNTY,"95407(38.403734, -122.736775)"
A300438,DOG,CHIHUAHUA LH,SMALL,09/22/2017,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A386631,DOG,GERM SHEPHERD/MIX,LARGE,08/12/2017,RETURN TO OWNER,95404.0,SANTA ROSA,SANTA ROSA,"95404(38.458384, -122.675588)"
A309612,DOG,GERM SHEPHERD,LARGE,08/01/2014,RETURN TO OWNER,95452.0,COUNTY,COUNTY,"95452(38.416879, -122.549913)"
A343293,DOG,SIBERIAN HUSKY,LARGE,01/06/2015,RETURN TO OWNER,95472.0,COUNTY,COUNTY,"95472(38.394388, -122.850998)"
A297917,DOG,GERM SHEPHERD/MIX,MED,05/09/2015,TRANSFER,95015.0,SANTA ROSA,OUT OF COUNTY,"95015(37.319314, -122.029264)"
A344164,DOG,BELG MALINOIS,LARGE,02/22/2017,RETURN TO OWNER,95403.0,COUNTY,COUNTY,"95403(38.486997, -122.749134)"
A324208,CAT,DOMESTIC SH,SMALL,07/10/2015,ADOPTION,95425.0,SANTA ROSA,*CLOVERDALE,"95425(38.790859, -123.010876)"
A367994,DOG,GERM SHEPHERD,MED,03/01/2018,EUTHANIZE,94954.0,COUNTY,COUNTY,"94954(38.245316, -122.59871)"
A301119,DOG,BORDER COLLIE/MIX,LARGE,01/02/2014,RETURN TO OWNER,94954.0,COUNTY,*PETALUMA,"94954(38.245316, -122.59871)"
A409120,DOG,PIT BULL,MED,03/21/2021,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A296962,DOG,PIT BULL,LARGE,07/03/2016,RETURN TO OWNER,95476.0,COUNTY,COUNTY,"95476(38.280393, -122.464588)"
A397046,DOG,DACHSHUND,SMALL,04/03/2020,TRANSFER,94146.0,SANTA ROSA,OUT OF COUNTY,"94146(37.78008, -122.420168)"
A336102,CAT,DOMESTIC SH,SMALL,04/27/2016,RETURN TO OWNER,94952.0,COUNTY,COUNTY,"94952(38.236012, -122.730241)"
A309552,DOG,LABRADOR RETR,LARGE,06/20/2016,RETURN TO OWNER,95465.0,COUNTY,COUNTY,"95465(38.406591, -123.001365)"
A391110,CAT,DOMESTIC SH,KITTN,09/03/2019,ADOPTION,95401.0,SANTA ROSA,COUNTY,"95401(38.446019, -122.766748)"
A405887,CAT,DOMESTIC SH,KITTN,07/17/2021,ADOPTION,95421.0,COUNTY,COUNTY,"95421(38.610732, -123.200051)"
A314381,DOG,CHIHUAHUA LH/MIX,SMALL,11/27/2014,RETURN TO OWNER,94706.0,*WINDSOR,OUT OF COUNTY,"94706(37.889693, -122.294926)"
A407227,CAT,DOMESTIC SH,KITTN,10/15/2021,ADOPTION,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A399063,DOG,GERM SHEPHERD/AKITA,LARGE,07/27/2020,RETURN TO OWNER,95476.0,COUNTY,COUNTY,"95476(38.280393, -122.464588)"
A341995,CAT,DOMESTIC SH,KITTN,09/06/2016,EUTHANIZE,,COUNTY,,
A386252,CAT,DOMESTIC SH,KITTN,04/17/2019,TRANSFER,94952.0,SANTA ROSA,*PETALUMA,"94952(38.236012, -122.730241)"
A404912,DOG,CHIHUAHUA SH/MIX,SMALL,05/22/2021,TRANSFER,95470.0,SANTA ROSA,OUT OF COUNTY,"95470(39.278782, -123.247219)"
A261076,DOG,LABRADOR RETR,LARGE,02/25/2016,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A361064,DOG,GERM SHEPHERD,LARGE,12/12/2017,RETURN TO OWNER,95403.0,COUNTY,COUNTY,"95403(38.486997, -122.749134)"
A412301,CAT,DOMESTIC SH,KITTN,08/04/2022,,,SANTA ROSA,,
A391794,CAT,DOMESTIC SH,KITTN,09/26/2019,ADOPTION,95436.0,COUNTY,COUNTY,"95436(38.491884, -122.90672)"
A340829,DOG,SIBERIAN HUSKY,MED,08/13/2016,RETURN TO OWNER,94603.0,SANTA ROSA,OUT OF COUNTY,"94603(37.73935, -122.174404)"
A341410,DOG,GERM SHEPHERD,LARGE,04/20/2019,RETURN TO OWNER,94931.0,COUNTY,*COTATI,"94931(38.325442, -122.71081)"
A314920,DOG,LABRADOR RETR,MED,12/15/2014,RETURN TO OWNER,95405.0,COUNTY,SANTA ROSA,"95405(38.439152, -122.672541)"
A405621,DOG,CHIHUAHUA SH/MIX,PUPPY,06/26/2021,RETURN TO OWNER,95407.0,SANTA ROSA,SANTA ROSA,"95407(38.403734, -122.736775)"
A308774,DOG,ENG COONHOUND,MED,07/23/2014,RETURN TO OWNER,95492.0,*WINDSOR,*WINDSOR,"95492(38.541541, -122.809202)"
A338047,DOG,GERM SH POINT,MED,06/21/2016,RETURN TO OWNER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A310206,CAT,DOMESTIC SH,SMALL,08/15/2014,TRANSFER,95403.0,*WINDSOR,SANTA ROSA,"95403(38.486997, -122.749134)"
A383086,DOG,PIT BULL,MED,05/08/2019,RETURN TO OWNER,95492.0,SANTA ROSA,*WINDSOR,"95492(38.541541, -122.809202)"
A387277,DOG,SIBERIAN HUSKY/GERM SHEPHERD,LARGE,11/27/2019,RETURN TO OWNER,95401.0,COUNTY,SANTA ROSA,"95401(38.446019, -122.766748)"
A369396,CAT,DOMESTIC SH,KITTN,03/14/2018,ADOPTION,94954.0,SANTA ROSA,*PETALUMA,"94954(38.245316, -122.59871)"
